"root_id","customer_text","true_intent","_source","pred_intent","confidence","alternative_intent","alternative_confidence","corpus_coverage","top_ids","top_scores","confidence_calibrated","auto_handle_safe","escalated","escalation_reason","margin"
"1267080","On board Coach K of @GWRHelp 800006. https://t.co/fYDADGzpKz","seat_reservation","targeted:seat_reservation","praise_or_chatter","0.9","other","0.1","1","[2962422, 2306957, 1638291, 1317119, 1121090, 673709, 1666148, 66158, 955931, 1372247]","[0.2141657439, 0.09250134600000001, 0.0905197086, 0.053442164, 0.0527504005, 0.039829520800000004, 0.034993771300000004, 0.031926641400000004, 0.029136765800000002, 0.0287976915]","0.6015037593984962","False","False","","0.8"
"2022953","@GWRHelp I asked for urgent info as if 0932 BPW-PAD severely delayed need to let colleagues know NOW. You haven’t bothered to reply!","delay_compensation","natural","service_disruption","0.9","timetable_info","0.1","1","[2494213, 755688, 649551, 2174311, 1052825, 2672132, 2561393, 443924, 2534240, 2306957]","[0.15623726870000001, 0.1215962586, 0.1139922398, 0.10592310760000001, 0.1048038209, 0.0848520571, 0.0803160291, 0.0773177995, 0.0718351098, 0.07086118150000001]","0.6015037593984962","True","False","","0.8"
"2703317","Thanks @GWRHelp for diverting the London - Swansea journey without warning meaning I’ve missed my connection which is the last of the day. Just what I wanted 👍🏼👍🏼👍🏼","delay_compensation","targeted:delay_compensation","service_disruption","0.9","other","0.1","1","[2672132, 853507, 2147848, 1884635, 583437, 1502562, 251180, 673709, 755688, 1724441]","[0.2246819323, 0.1226528838, 0.1091400763, 0.0973474051, 0.0964090128, 0.09332862310000001, 0.0888975519, 0.0864842103, 0.07875913720000001, 0.0772845997]","0.6015037593984962","False","False","","0.8"
"1897157","@GWRHelp how to get a ticket when station closed and ticket machine out of order. Trying to get from burnham to Reading @329647","booking_issue","natural","booking_issue","0.9500000000000001","other","0.05","1","[251180, 2961832, 2306957, 2812223, 583437, 1011749, 2494213, 2747972, 1841160, 1724441]","[0.2140146447, 0.1501162264, 0.13987726250000002, 0.1303160991, 0.1163117765, 0.1140864382, 0.1136153069, 0.0738789214, 0.0662652188, 0.060016283000000004]","0.6015037593984962","True","False","","0.9"
"1320194","Hi @GWRHelp coach B seems to be missing from 9:45 to Bristol parkway. Quite a shame as I - and a fair few others - have seats booked on it!","seat_reservation","targeted:seat_reservation","seat_reservation","0.9500000000000001","on_board_issue","0.05","1","[1844212, 1121090, 2961832, 2731603, 443924, 1638291, 649551, 2174311, 1522242, 955931]","[0.23812168420000002, 0.11320086210000001, 0.11307316540000001, 0.1091369048, 0.1047810034, 0.10378428540000001, 0.0900532629, 0.07817437470000001, 0.077730293, 0.0774014385]","0.6015037593984962","False","False","","0.9"
"2275104","Appalling service from @GWRHelp - not telling us until after Filton that the already 45 minutes late train was skipping Temple Meads, instead forcing people to change at Bath, which takes longer. Train from Bath is running late too of course.","delay_compensation","natural","service_disruption","0.9500000000000001","other","0.05","1","[2174311, 2494213, 251180, 2561393, 54019, 1085021, 883928, 443924, 2306957, 1884635]","[0.1676548956, 0.1234394157, 0.120964764, 0.11981208060000001, 0.1194876879, 0.10985422610000001, 0.1010020422, 0.0976725382, 0.0953523854, 0.0861158427]","0.6015037593984962","True","False","","0.9"
"1884566","@GWRHelp - still waiting for 4 days for seat reservation confirmation - doesn't help for over-crowded peak-hours. please resolve soonest.","seat_reservation","natural","seat_reservation","0.9","other","0.1","1","[673709, 2961832, 54019, 2812223, 755688, 751454, 1502562, 2731603, 2747972, 2494213]","[0.12358849940000001, 0.121491096, 0.11614519420000001, 0.10469677670000001, 0.0606432472, 0.0548562223, 0.047948201100000004, 0.0471340254, 0.0450705543, 0.043632826900000005]","0.6015037593984962","False","False","","0.8"
"2811081","@GWRHelp Great service on the West bound night riviera coach C. Like the refurb but a hook for the damp towel and small shelf for the key card would finish it off nicely.","praise_or_chatter","targeted:seat_reservation","praise_or_chatter","0.9500000000000001","other","0.05","1","[443924, 66158, 1052825, 1372247, 2174311, 2494213, 2306957, 2812223, 1638291, 1724441]","[0.17374203330000001, 0.1469475431, 0.1339311943, 0.1282595913, 0.1170868528, 0.1136594966, 0.1124008533, 0.1121847827, 0.1021280242, 0.08711598100000001]","0.6015037593984962","True","False","","0.9"
"2189442","@GWRHelp am I gonna get more than £10 off my monthly ticket this month? Bc almost every train has been delayed incl 1.5 hrs y’day!","delay_compensation","natural","delay_compensation","0.9500000000000001","other","0.05","1","[1522242, 2120005, 1841160, 1011749, 2672132, 1085021, 2747972, 1844212, 2494213, 1502562]","[0.15474926290000002, 0.1432164651, 0.1136522335, 0.1035998545, 0.1030055193, 0.0981575019, 0.0936379146, 0.0917217912, 0.0887127789, 0.0847332774]","0.6015037593984962","False","False","","0.9"
"1096341","@GWRHelp - thank you for holding the 21.31 from Exeter St Davids to Exmouth tonight to wait for the late running London train 😇","praise_or_chatter","natural","praise_or_chatter","0.9500000000000001","other","0.05","1","[133166, 2494213, 443924, 251180, 2812223, 853507, 2174311, 1884635, 2120005, 1317955]","[0.282045402, 0.1602255277, 0.1334662171, 0.1100566352, 0.1090392381, 0.1018624095, 0.0960902565, 0.0951435768, 0.08969065970000001, 0.0893990979]","0.6015037593984962","False","False","","0.9"
